Cat,Name,Smiles,PIC50_pred,
S9110,Morin,OC1=CC(=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O)O,5.981591588,
S9123,Eriodictyol,OC1=CC2=C(C(=O)CC(O2)C3=CC(=C(O)C=C3)O)C(=C1)O,5.981591588,
E0023,"5,7-Dihydroxychromone",OC1=CC(=C2C(=O)C=COC2=C1)O,5.981591588,
E4175,(¡À)-Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
E2862,(+/-)-Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
E4425,4-tert-Octylphenol,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,5.950584104,
S2326,Myricetin,OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC(=C(O)C(=C3)O)O)O)O,5.944285088,
E4318,"3,5-Diiodo-L-tyrosine dihydrate",NC(CC1=CC(=C(O)C(=C1)I)I)C(O)=O,5.940134811,
S9634,Phenoxodiol (Haginin E),OC1=CC=C(C=C1)C2=CC3=CC=C(O)C=C3OC2,5.918345936,
S2262,Apigenin (LY 080400),OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O,5.917914074,
S2314,Kaempferol (NSC 407289),OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2,5.917914074,
S2320,Luteolin,OC1=CC(=C2C(=O)C=C(OC2=C1)C3=CC=C(O)C(=C3)O)O,5.917914074,
S2347,Quercetin Dihydrate,O.O.OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,5.917914074,
S2391,Quercetin (NSC 9221),OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,5.917914074,
S3833,Amentoflavone,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(O)C=C3O)C4=CC(=CC=C4O)C5=CC(=O)C6=C(O5)C=C(O)C=C6O,5.917914074,
S9120,Scutellarein,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C(=C3O)O,5.917914074,
E0675,Quercetagetin,OC1=CC=C(C=C1O)C2=C(O)C(=O)C3=C(O)C(=C(O)C=C3O2)O,5.917914074,
E0526,sappanone A,OC1=CC=C2C(=O)C(/COC2=C1)=C/C3=CC=C(O)C(=C3)O,5.911586807,
S9131,Punicalagin,OC1COC(=O)C2=CC(=C(O)C(=C2C3=C4C(=O)OC5=C(O)C(=C(C6=C5C4=C(OC6=O)C(=C3O)O)C7=C(C=C(O)C(=C7O)O)C(=O)OC1C8OC(=O)C9=CC(=C(O)C(=C9C%10=C(C=C(O)C(=C%10O)O)C(=O)OC8C=O)O)O)O)O)O,5.907608335,
S9098,Dehydrodiisoeugenol,COC1=C(O)C=CC(=C1)C2OC3=C(C=C(\C=C\C)C=C3OC)C2C,5.900499049,
S9035,Isovitexin,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C=C2O,5.876870632,
S9099,Orientin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C4=CC(=C(O)C=C4)O,5.876870632,
S9234,Schaftoside,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C(=C2O)C5OCC(O)C(O)C5O,5.876870632,
S9192,Vitexin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C4=CC=C(O)C=C4,5.876870632,
S9248,Homoorientin,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC(=C(O)C=C4)O)C=C2O,5.876870632,
S9378,"4',5-Dihydroxyflavone",OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC=C3O,5.835863063,
S6348,(+)-Delta-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(=CC(=C2)O)C,5.831451556,
S9127,Carnosol,CC(C)C1=CC2=C(C(=C1O)O)C34CCCC(C)(C)C3CC2OC4=O,5.818752401,
S2615,Noradrenaline bitartrate monohydrate,O.NCC(O)C1=CC(=C(O)C=C1)O.OC(C(O)C(O)=O)C(O)=O,5.808305746,
